occasion_group,from_brand_id,from_brand_name,to_brand_id,to_brand_name,base_transfer_share,rationale
core_meal,kfc,KFC,tacobell,Taco Bell,0.06,Taco Bell is a secondary internal alternative on the same meal mission.
core_meal,kfc,KFC,pizzahut,Pizza Hut,0.01,Pizza Hut is a secondary internal alternative on the same meal mission.
core_meal,kfc,KFC,habitburger,Habit Burger & Grill,0.06,Habit Burger & Grill is a secondary internal alternative on the same meal mission.
core_meal,tacobell,Taco Bell,kfc,KFC,0.05,KFC is a secondary internal alternative on the same meal mission.
core_meal,tacobell,Taco Bell,pizzahut,Pizza Hut,0.01,Pizza Hut is a secondary internal alternative on the same meal mission.
core_meal,tacobell,Taco Bell,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill is a secondary internal alternative on the same meal mission.
core_meal,pizzahut,Pizza Hut,kfc,KFC,0.01,KFC is a secondary internal alternative on the same meal mission.
core_meal,pizzahut,Pizza Hut,tacobell,Taco Bell,0.01,Taco Bell is a secondary internal alternative on the same meal mission.
core_meal,pizzahut,Pizza Hut,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill is a secondary internal alternative on the same meal mission.
core_meal,habitburger,Habit Burger & Grill,kfc,KFC,0.08,KFC is a secondary internal alternative on the same meal mission.
core_meal,habitburger,Habit Burger & Grill,tacobell,Taco Bell,0.01,Taco Bell is a secondary internal alternative on the same meal mission.
core_meal,habitburger,Habit Burger & Grill,pizzahut,Pizza Hut,0.01,Pizza Hut is a secondary internal alternative on the same meal mission.
family_share,kfc,KFC,tacobell,Taco Bell,0.01,Taco Bell can absorb some family-meal pressure if KFC value weakens.
family_share,kfc,KFC,pizzahut,Pizza Hut,0.07,Pizza Hut can absorb some family-meal pressure if KFC value weakens.
family_share,kfc,KFC,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill can absorb some family-meal pressure if KFC value weakens.
family_share,tacobell,Taco Bell,kfc,KFC,0.01,KFC can absorb some family-meal pressure if Taco Bell value weakens.
family_share,tacobell,Taco Bell,pizzahut,Pizza Hut,0.01,Pizza Hut can absorb some family-meal pressure if Taco Bell value weakens.
family_share,tacobell,Taco Bell,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill can absorb some family-meal pressure if Taco Bell value weakens.
family_share,pizzahut,Pizza Hut,kfc,KFC,0.09,KFC can absorb some family-meal pressure if Pizza Hut value weakens.
family_share,pizzahut,Pizza Hut,tacobell,Taco Bell,0.01,Taco Bell can absorb some family-meal pressure if Pizza Hut value weakens.
family_share,pizzahut,Pizza Hut,habitburger,Habit Burger & Grill,0.03,Habit Burger & Grill can absorb some family-meal pressure if Pizza Hut value weakens.
family_share,habitburger,Habit Burger & Grill,kfc,KFC,0.01,KFC can absorb some family-meal pressure if Habit Burger & Grill value weakens.
family_share,habitburger,Habit Burger & Grill,tacobell,Taco Bell,0.01,Taco Bell can absorb some family-meal pressure if Habit Burger & Grill value weakens.
family_share,habitburger,Habit Burger & Grill,pizzahut,Pizza Hut,0.04,Pizza Hut can absorb some family-meal pressure if Habit Burger & Grill value weakens.
snack_treat,kfc,KFC,tacobell,Taco Bell,0.01,Taco Bell participates in impulse and snack missions that partially overlap.
snack_treat,kfc,KFC,pizzahut,Pizza Hut,0.01,Pizza Hut participates in impulse and snack missions that partially overlap.
snack_treat,kfc,KFC,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill participates in impulse and snack missions that partially overlap.
snack_treat,tacobell,Taco Bell,kfc,KFC,0.01,KFC participates in impulse and snack missions that partially overlap.
snack_treat,tacobell,Taco Bell,pizzahut,Pizza Hut,0.01,Pizza Hut participates in impulse and snack missions that partially overlap.
snack_treat,tacobell,Taco Bell,habitburger,Habit Burger & Grill,0.04,Habit Burger & Grill participates in impulse and snack missions that partially overlap.
snack_treat,pizzahut,Pizza Hut,kfc,KFC,0.01,KFC participates in impulse and snack missions that partially overlap.
snack_treat,pizzahut,Pizza Hut,tacobell,Taco Bell,0.03,Taco Bell participates in impulse and snack missions that partially overlap.
snack_treat,pizzahut,Pizza Hut,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill participates in impulse and snack missions that partially overlap.
snack_treat,habitburger,Habit Burger & Grill,kfc,KFC,0.01,KFC participates in impulse and snack missions that partially overlap.
snack_treat,habitburger,Habit Burger & Grill,tacobell,Taco Bell,0.05,Taco Bell participates in impulse and snack missions that partially overlap.
snack_treat,habitburger,Habit Burger & Grill,pizzahut,Pizza Hut,0.01,Pizza Hut participates in impulse and snack missions that partially overlap.
solo_value_meal,kfc,KFC,tacobell,Taco Bell,0.08,Taco Bell overlaps with KFC on entry-price meal occasions.
solo_value_meal,kfc,KFC,pizzahut,Pizza Hut,0.01,Pizza Hut overlaps with KFC on entry-price meal occasions.
solo_value_meal,kfc,KFC,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill overlaps with KFC on entry-price meal occasions.
solo_value_meal,tacobell,Taco Bell,kfc,KFC,0.07,KFC overlaps with Taco Bell on entry-price meal occasions.
solo_value_meal,tacobell,Taco Bell,pizzahut,Pizza Hut,0.01,Pizza Hut overlaps with Taco Bell on entry-price meal occasions.
solo_value_meal,tacobell,Taco Bell,habitburger,Habit Burger & Grill,0.05,Habit Burger & Grill overlaps with Taco Bell on entry-price meal occasions.
solo_value_meal,pizzahut,Pizza Hut,kfc,KFC,0.01,KFC overlaps with Pizza Hut on entry-price meal occasions.
solo_value_meal,pizzahut,Pizza Hut,tacobell,Taco Bell,0.01,Taco Bell overlaps with Pizza Hut on entry-price meal occasions.
solo_value_meal,pizzahut,Pizza Hut,habitburger,Habit Burger & Grill,0.01,Habit Burger & Grill overlaps with Pizza Hut on entry-price meal occasions.
solo_value_meal,habitburger,Habit Burger & Grill,kfc,KFC,0.05,KFC overlaps with Habit Burger & Grill on entry-price meal occasions.
solo_value_meal,habitburger,Habit Burger & Grill,tacobell,Taco Bell,0.07,Taco Bell overlaps with Habit Burger & Grill on entry-price meal occasions.
solo_value_meal,habitburger,Habit Burger & Grill,pizzahut,Pizza Hut,0.01,Pizza Hut overlaps with Habit Burger & Grill on entry-price meal occasions.
