offer_id,week_start,year_week,brand_id,market_id,offer_type,offer_name,channel_scope,avg_discount_pct,participating_item_count,participating_store_count,promo_units,promo_sales,headline_items,notes
camp_0028,2025-01-27,2025-01-27,tacobell,los_angeles_ca,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0029,2025-01-27,2025-01-27,tacobell,dallas_tx,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0030,2025-01-27,2025-01-27,tacobell,chicago_il,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0031,2025-01-27,2025-01-27,tacobell,atlanta_ga,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0032,2025-01-27,2025-01-27,tacobell,new_york_ny,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0033,2025-01-27,2025-01-27,tacobell,miami_fl,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0034,2025-01-27,2025-01-27,tacobell,phoenix_az,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0035,2025-01-27,2025-01-27,tacobell,denver_co,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0036,2025-01-27,2025-01-27,tacobell,seattle_wa,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0037,2025-01-27,2025-01-27,tacobell,nashville_tn,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
camp_0038,2025-01-27,2025-01-27,tacobell,minneapolis_mn,value_box,Luxe Box Value Pulse,all,9.0,4,1,,,Breakfast Crunchwrap | Luxe Cravings Box | Value Burrito | Value Taco,Value architecture support to protect late-night and lunch traffic.
