brand_id,product_id,product_name,product_family,product_role,occasion_group,daypart,price_tier,base_price,food_cost_pct,labor_intensity,packaging_cost_pct,baseline_units_index,base_elasticity,promo_sensitivity,digital_affinity,value_flag,shareable_flag,lto_flag,notes
qsr,qsr_big_dinner_box,Family Meal Box,bundles,family_meal,family_share,dinner,premium,26.99,0.34,0.10,0.07,78,-1.01,0.89,0.85,false,true,false,High-check family bundle and sports-night traffic platform.
qsr,qsr_breadsticks,Breadsticks,sides,attach,family_share,dinner,entry,6.49,0.18,0.07,0.04,98,-1.11,0.97,0.74,false,true,false,Low-cost attach that supports bundle optics and family orders.
qsr,qsr_large_pizza,Large Signature Pizza,pizza,family_meal,family_share,dinner,premium,19.99,0.31,0.09,0.06,126,-1.21,0.93,0.85,false,true,false,Large dinner anchor with strong delivery and carryout relevance.
qsr,qsr_medium_pizza,Medium Signature Pizza,pizza,core_meal,family_share,dinner,core,15.99,0.30,0.09,0.06,132,-1.36,0.98,0.82,false,true,false,Core family order line and everyday pricing reference item.
qsr,qsr_melts,Melt Combo,handhelds,traffic_builder,solo_value_meal,lunch,core,8.49,0.25,0.09,0.05,116,-1.72,1.10,0.82,false,false,false,Portable lunch and solo meal platform with strong carryout and app affinity.
qsr,qsr_original_stuffed_crust,Stuffed Crust Pizza,pizza,innovation,family_share,dinner,premium,22.99,0.33,0.10,0.06,92,-1.05,0.86,0.87,false,true,false,Premium crust ladder step modeled from QSR signature innovation positioning.
qsr,qsr_oven_baked_pasta,Baked Pasta,pasta,core_meal,core_meal,dinner,core,11.49,0.29,0.09,0.05,70,-1.24,0.89,0.72,false,false,false,Dinner adjacency outside pizza that broadens the order mix.
qsr,qsr_personal_pan,Personal Pizza,pizza,traffic_builder,solo_value_meal,lunch,entry,6.79,0.27,0.08,0.05,122,-1.86,1.08,0.63,true,false,false,Entry pizza anchor modeled for lunch and value occasions.
qsr,qsr_traditional_wings,Traditional Wings,wings,attach,sports_party,dinner,core,11.99,0.34,0.08,0.05,96,-1.42,0.97,0.84,false,true,false,High-attach occasion item for sports viewing and bundle add-ons.
qsr,qsr_ultimate_cookie,Ultimate Chocolate Chip Cookie,desserts,attach,snack_treat,dinner,core,8.29,0.20,0.06,0.04,58,-0.92,0.86,0.76,false,true,false,Dessert attach item used to lift average check on larger baskets.
qsr,qsr_value_meal_box,Value Meal Box,bundles,traffic_builder,solo_value_meal,dinner,value,7.99,0.29,0.09,0.06,136,-1.92,1.15,0.81,true,false,false,Modeled value bundle used to protect affordability optics and digital conversion.
